ship_id,hour,avg_engine_rpm,max_engine_rpm,avg_coolant_temp,max_coolant_temp,stddev_coolant_temp,avg_vibration,max_vibration,avg_fuel_flow,avg_hvac_pressure,anomaly_events,anomaly_rate,label
MSC-BELLISSIMA,2026-05-21 06:27:10.520848,1775.0809839512135,1877.4403754541943,76.45,79.31,1.239,0.806,1.102,12.501,4.316,0,0.0,0
MSC-BELLISSIMA,2026-05-21 07:27:10.520848,1768.4075246413906,1867.3151399265973,77.44,78.69,1.322,0.8,0.931,12.533,4.34,0,0.0,0
MSC-BELLISSIMA,2026-05-21 08:27:10.520848,1800.794401616448,1890.0756395302158,79.48,82.83,1.487,0.809,1.169,12.736,4.174,0,0.0,0
MSC-BELLISSIMA,2026-05-21 09:27:10.520848,1822.289101187707,1831.7205098790266,77.89,79.8,0.45,0.805,0.973,11.95,4.202,0,0.0,0
MSC-BELLISSIMA,2026-05-21 10:27:10.520848,1813.7113438566091,1872.3193346425637,77.67,81.06,1.172,0.761,1.04,12.459,4.279,0,0.0,0
MSC-BELLISSIMA,2026-05-21 11:27:10.520848,1785.7958898463962,1827.4937316377593,78.84,81.29,0.94,0.896,1.06,12.389,4.29,0,0.0,0
MSC-BELLISSIMA,2026-05-21 12:27:10.520848,1791.1050746087199,1845.0295271563384,76.62,79.04,1.448,0.779,1.044,12.631,4.273,0,0.0,0
MSC-BELLISSIMA,2026-05-21 13:27:10.520848,1814.307828472929,1825.4406197580893,77.26,79.1,0.856,0.642,0.801,12.621,4.22,0,0.0,0
MSC-BELLISSIMA,2026-05-21 14:27:10.520848,1806.4036280375228,1913.4907973281656,77.59,78.77,0.79,0.79,1.141,12.646,4.111,0,0.0,0
MSC-BELLISSIMA,2026-05-21 15:27:10.520848,1808.973239061432,1856.598247210351,78.87,81.64,0.836,0.998,1.116,12.409,4.326,0,0.0,0
MSC-BELLISSIMA,2026-05-21 16:27:10.520848,1726.490518903211,1843.2737850967776,81.79,83.46,0.789,1.298,1.708,12.436,4.24,0,0.0,0
MSC-BELLISSIMA,2026-05-21 17:27:10.520848,1765.3073751885208,1828.9594841344217,87.04,89.57,0.581,1.532,1.864,12.419,4.241,0,0.0,0
MSC-BELLISSIMA,2026-05-21 18:27:10.520848,1776.063740831459,1867.787475854485,88.28,91.37,0.969,1.622,1.993,12.423,4.12,1,1.0,1
MSC-BELLISSIMA,2026-05-21 19:27:10.520848,1791.9887258165902,1887.8669919893457,91.08,92.67,0.533,1.975,2.185,12.12,4.196,1,1.0,1
MSC-BELLISSIMA,2026-05-21 20:27:10.520848,1754.169127451395,1827.2854310186665,92.45,94.29,0.958,2.148,2.399,12.963,4.129,1,1.0,1
MSC-BELLISSIMA,2026-05-21 21:27:10.520848,1806.287775054108,1815.2980641047052,95.24,96.4,1.117,2.498,2.91,12.689,4.222,1,1.0,1
MSC-BELLISSIMA,2026-05-21 22:27:10.520848,1792.934884176352,1885.3416419388614,78.64,82.53,0.968,0.752,0.939,12.794,4.263,0,0.0,0
MSC-BELLISSIMA,2026-05-21 23:27:10.520848,1776.4798338152475,1866.5670172768632,78.3,79.62,1.227,0.853,1.009,12.467,4.182,0,0.0,0
MSC-BELLISSIMA,2026-05-22 00:27:10.520848,1779.5677657060435,1788.7840094718706,77.51,79.43,1.524,0.816,0.989,12.27,4.29,0,0.0,0
MSC-BELLISSIMA,2026-05-22 01:27:10.520848,1754.6277378746229,1883.6681193507968,79.57,81.65,1.605,0.904,1.151,12.59,4.142,0,0.0,0
MSC-BELLISSIMA,2026-05-22 02:27:10.520848,1792.5421075638187,1825.8672103388835,76.6,80.4,1.286,0.749,1.205,12.335,4.157,0,0.0,0
MSC-BELLISSIMA,2026-05-22 03:27:10.520848,1846.9494610421486,1895.3224123143445,78.79,82.17,0.944,0.787,0.947,12.598,4.283,0,0.0,0
MSC-BELLISSIMA,2026-05-22 04:27:10.520848,1785.8703292753423,1850.539658339585,77.71,79.1,1.421,0.811,1.023,11.723,4.238,0,0.0,0
MSC-BELLISSIMA,2026-05-22 05:27:10.520848,1791.4918263833658,1863.1244585302038,79.1,80.51,1.186,0.755,1.162,12.057,4.167,0,0.0,0
MSC-BELLISSIMA,2026-05-22 06:27:10.520848,1829.4024394466023,1846.974551658269,77.85,79.45,0.897,0.811,1.061,12.829,4.118,0,0.0,0
MSC-BELLISSIMA,2026-05-22 07:27:10.520848,1851.9083686651388,1856.4483798105496,78.56,80.1,0.672,0.849,0.962,12.297,4.096,0,0.0,0
MSC-BELLISSIMA,2026-05-22 08:27:10.520848,1795.8482807680073,1772.5449909346237,78.5,80.23,1.563,0.723,1.082,12.528,4.1,0,0.0,0
MSC-BELLISSIMA,2026-05-22 09:27:10.520848,1784.1802067012113,1893.2465014148684,78.18,80.4,1.041,0.808,1.049,12.516,4.257,0,0.0,0
MSC-BELLISSIMA,2026-05-22 10:27:10.520848,1776.121318407318,1844.6042761903707,76.87,80.49,0.747,0.762,1.093,12.377,4.258,0,0.0,0
MSC-BELLISSIMA,2026-05-22 11:27:10.520848,1804.897057341977,1868.8873909095842,80.01,83.16,1.272,0.757,0.952,12.445,4.132,0,0.0,0
MSC-BELLISSIMA,2026-05-22 12:27:10.520848,1819.856985825674,1863.9977645286945,78.72,79.74,0.944,0.878,1.208,12.417,4.223,0,0.0,0
MSC-BELLISSIMA,2026-05-22 13:27:10.520848,1835.3148976047542,1835.3515827931171,79.24,82.83,1.104,0.778,1.017,12.711,4.137,0,0.0,0
MSC-BELLISSIMA,2026-05-22 14:27:10.520848,1785.2057896070128,1834.4317643262812,78.38,80.0,0.912,0.802,1.281,12.657,4.387,0,0.0,0
MSC-BELLISSIMA,2026-05-22 15:27:10.520848,1779.906296671139,1806.0100107007597,77.95,79.77,0.688,0.852,1.222,12.322,4.14,0,0.0,0
MSC-BELLISSIMA,2026-05-22 16:27:10.520848,1793.9555943768182,1833.2713032154975,77.75,78.98,1.492,0.779,0.9,12.522,4.196,0,0.0,0
MSC-BELLISSIMA,2026-05-22 17:27:10.520848,1769.6500801515083,1849.4172985981882,78.03,80.35,1.125,0.773,1.195,12.03,4.218,0,0.0,0
MSC-BELLISSIMA,2026-05-22 18:27:10.520848,1803.6335249185113,1880.8167334187783,83.0,84.97,1.42,1.3,1.628,12.257,4.135,0,0.0,0
MSC-BELLISSIMA,2026-05-22 19:27:10.520848,1822.6320485422934,1813.3281980465545,88.72,90.69,0.884,1.405,1.713,12.617,4.232,1,1.0,1
MSC-BELLISSIMA,2026-05-22 20:27:10.520848,1822.1607178476975,1860.9737068239936,89.02,90.49,1.286,1.679,2.135,12.46,4.012,1,1.0,1
MSC-BELLISSIMA,2026-05-22 21:27:10.520848,1758.562502848442,1918.94951591442,88.91,92.7,0.586,2.003,2.16,12.534,4.214,1,1.0,1
MSC-BELLISSIMA,2026-05-22 22:27:10.520848,1790.8257804567509,1859.8715236116768,93.57,95.17,0.823,2.099,2.432,11.988,4.14,1,1.0,1
MSC-BELLISSIMA,2026-05-22 23:27:10.520848,1795.307568422791,1820.3317811074803,94.8,97.28,1.187,2.42,2.635,12.616,4.348,1,1.0,1
MSC-BELLISSIMA,2026-05-23 00:27:10.520848,1846.2113883319914,1858.2446813167535,79.33,80.87,1.124,0.698,1.179,12.561,4.129,0,0.0,0
MSC-BELLISSIMA,2026-05-23 01:27:10.520848,1778.6850799392037,1885.9646619508253,77.6,81.4,1.019,0.796,1.13,12.66,4.191,0,0.0,0
MSC-BELLISSIMA,2026-05-23 02:27:10.520848,1794.4975350653237,1816.4813096346177,76.7,77.99,0.746,0.787,1.002,12.423,4.22,0,0.0,0
MSC-BELLISSIMA,2026-05-23 03:27:10.520848,1842.8502513838325,1803.7037359509393,77.64,81.28,1.106,0.777,0.965,12.18,4.04,0,0.0,0
MSC-BELLISSIMA,2026-05-23 04:27:10.520848,1814.1418280314936,1854.2438296092155,79.27,82.71,1.387,0.797,1.08,12.31,4.237,0,0.0,0
MSC-BELLISSIMA,2026-05-23 05:27:10.520848,1782.648296624786,1818.5042831905885,78.03,80.59,0.639,0.784,1.04,12.199,4.167,0,0.0,0
MSC-BELLISSIMA,2026-05-23 06:27:10.520848,1765.6815577754387,1892.9395944456705,79.59,82.66,1.193,0.861,1.232,11.901,4.136,0,0.0,0
MSC-BELLISSIMA,2026-05-23 07:27:10.520848,1814.7026770787304,1838.5157610202257,76.98,78.47,1.026,0.752,0.897,12.365,4.447,0,0.0,0
MSC-BELLISSIMA,2026-05-23 08:27:10.520848,1749.6029273200913,1821.2966816254316,77.88,78.92,0.997,0.779,0.91,12.355,4.062,0,0.0,0
MSC-BELLISSIMA,2026-05-23 09:27:10.520848,1779.828158189732,1860.4489551410982,80.68,84.2,0.749,0.742,1.084,12.379,4.11,0,0.0,0
MSC-BELLISSIMA,2026-05-23 10:27:10.520848,1812.9413546404953,1855.0221567586354,80.6,82.03,1.588,0.845,1.14,12.035,4.128,0,0.0,0
MSC-BELLISSIMA,2026-05-23 11:27:10.520848,1819.705873202005,1870.8477200411678,78.2,80.16,0.858,0.769,1.146,12.39,4.385,0,0.0,0
MSC-BELLISSIMA,2026-05-23 12:27:10.520848,1785.5805021570366,1842.4518460382687,77.63,79.3,0.541,0.795,1.118,12.83,4.183,0,0.0,0
MSC-BELLISSIMA,2026-05-23 13:27:10.520848,1802.712314257105,1821.709199107542,77.57,79.1,0.914,0.787,1.239,12.966,4.221,0,0.0,0
MSC-BELLISSIMA,2026-05-23 14:27:10.520848,1814.5074913895119,1790.8313059230757,77.77,80.09,0.701,0.722,0.871,12.395,4.243,0,0.0,0
MSC-BELLISSIMA,2026-05-23 15:27:10.520848,1803.6452586727846,1861.64357647425,77.38,81.07,0.72,0.804,1.285,12.533,4.245,0,0.0,0
MSC-BELLISSIMA,2026-05-23 16:27:10.520848,1762.7755720896396,1816.8328938392754,78.68,81.82,0.656,0.728,1.206,12.663,4.214,0,0.0,0
MSC-BELLISSIMA,2026-05-23 17:27:10.520848,1793.5593871493745,1862.8238528162083,78.01,79.74,0.572,0.787,1.285,12.218,4.183,0,0.0,0
MSC-BELLISSIMA,2026-05-23 18:27:10.520848,1799.7099408988454,1859.329953349436,77.29,81.25,1.328,0.647,0.841,12.36,4.258,0,0.0,0
MSC-BELLISSIMA,2026-05-23 19:27:10.520848,1820.0517339848802,1886.0702907608634,77.37,79.12,1.294,0.792,0.947,12.527,4.104,0,0.0,0
MSC-BELLISSIMA,2026-05-23 20:27:10.520848,1803.1721680344758,1895.4244077815986,79.56,82.51,0.816,0.776,0.935,12.793,4.119,0,0.0,0
MSC-BELLISSIMA,2026-05-23 21:27:10.520848,1791.1453216852713,1847.0488490790833,82.53,85.9,0.581,1.321,1.529,13.039,4.205,0,0.0,0
MSC-BELLISSIMA,2026-05-23 22:27:10.520848,1817.5293091406147,1794.6575648382914,87.74,89.43,1.034,1.462,1.601,12.895,4.214,0,0.0,0
MSC-BELLISSIMA,2026-05-23 23:27:10.520848,1788.1667619496054,1871.3681631813329,85.64,89.57,0.628,1.751,1.936,12.656,4.327,0,0.0,0
MSC-BELLISSIMA,2026-05-24 00:27:10.520848,1790.3101729334835,1855.470138315112,89.59,92.43,0.814,1.952,2.103,12.643,4.241,1,1.0,1
MSC-BELLISSIMA,2026-05-24 01:27:10.520848,1790.6751749831171,1873.956011470454,93.12,96.37,1.293,2.201,2.369,12.353,4.114,1,1.0,1
MSC-BELLISSIMA,2026-05-24 02:27:10.520848,1812.6385982580978,1857.1878944892142,92.1,96.05,1.397,2.341,2.528,12.722,4.057,1,1.0,1
MSC-BELLISSIMA,2026-05-24 03:27:10.520848,1797.000336282358,1831.4190945581786,79.16,80.73,0.946,0.729,1.033,12.03,4.213,0,0.0,0
MSC-BELLISSIMA,2026-05-24 04:27:10.520848,1788.0518931547206,1848.7027864871338,75.45,77.71,1.714,0.852,1.194,12.814,4.197,0,0.0,0
MSC-BELLISSIMA,2026-05-24 05:27:10.520848,1809.986590018641,1880.700400036279,77.97,81.08,0.722,0.71,0.863,12.322,4.07,0,0.0,0
MSC-BELLISSIMA,2026-05-24 06:27:10.520848,1832.051363684139,1864.1388006122256,77.7,81.42,0.924,0.861,1.181,12.579,4.009,0,0.0,0
MSC-BELLISSIMA,2026-05-24 07:27:10.520848,1754.7411116066887,1820.6407524717085,78.02,81.33,0.532,0.759,1.041,12.759,4.465,0,0.0,0
MSC-BELLISSIMA,2026-05-24 08:27:10.520848,1784.6849238218842,1853.3141512398659,77.47,78.82,1.271,0.733,1.111,12.411,4.158,0,0.0,0
MSC-BELLISSIMA,2026-05-24 09:27:10.520848,1799.2980086419652,1788.9629159178417,78.37,80.25,0.416,0.924,1.056,13.196,4.249,0,0.0,0
MSC-BELLISSIMA,2026-05-24 10:27:10.520848,1784.3296208943964,1862.4794144285843,79.28,80.32,1.718,0.824,0.981,12.634,4.445,0,0.0,0
MSC-BELLISSIMA,2026-05-24 11:27:10.520848,1780.0878560174838,1848.2117616848498,77.1,79.39,1.345,0.814,1.21,12.626,4.2,0,0.0,0
MSC-BELLISSIMA,2026-05-24 12:27:10.520848,1806.5287923241287,1858.3912125570848,77.44,79.63,1.279,0.727,1.142,12.549,4.264,0,0.0,0
MSC-BELLISSIMA,2026-05-24 13:27:10.520848,1843.084264090003,1858.8882989410613,77.45,79.02,1.167,0.834,1.303,12.415,4.222,0,0.0,0
MSC-BELLISSIMA,2026-05-24 14:27:10.520848,1764.8167266026126,1897.7499600490416,79.3,81.24,1.168,0.826,1.312,12.476,4.268,0,0.0,0
MSC-BELLISSIMA,2026-05-24 15:27:10.520848,1803.8178966189507,1856.1184312161618,78.72,80.23,1.003,0.847,1.195,12.362,4.202,0,0.0,0
MSC-BELLISSIMA,2026-05-24 16:27:10.520848,1816.6581755781942,1875.0071809091155,80.01,82.89,0.909,0.8,1.0,12.603,4.22,0,0.0,0
MSC-BELLISSIMA,2026-05-24 17:27:10.520848,1819.6024489430968,1845.5727264910618,77.33,80.88,1.493,0.719,0.829,12.441,4.065,0,0.0,0
MSC-BELLISSIMA,2026-05-24 18:27:10.520848,1806.3961791635452,1805.6195491839183,80.27,81.44,1.369,0.809,1.231,12.506,4.04,0,0.0,0
MSC-BELLISSIMA,2026-05-24 19:27:10.520848,1804.2887509787845,1855.7136361907274,77.63,80.84,1.117,0.748,0.905,12.1,4.26,0,0.0,0
MSC-BELLISSIMA,2026-05-24 20:27:10.520848,1803.288302770305,1840.007937683802,78.59,81.0,0.273,0.701,1.016,12.616,4.297,0,0.0,0
MSC-BELLISSIMA,2026-05-24 21:27:10.520848,1771.35026684789,1850.362808158315,76.99,80.48,1.04,0.826,1.253,12.199,4.132,0,0.0,0
MSC-BELLISSIMA,2026-05-24 22:27:10.520848,1823.845089272513,1862.1627370022052,77.06,79.65,0.91,0.772,1.071,12.05,4.18,0,0.0,0
MSC-BELLISSIMA,2026-05-24 23:27:10.520848,1817.234296665196,1873.1256308622299,78.04,80.26,0.429,0.8,1.275,12.778,4.288,0,0.0,0
MSC-BELLISSIMA,2026-05-25 00:27:10.520848,1795.7873192042377,1886.9946781979702,76.51,78.48,1.147,0.817,1.164,12.537,4.278,0,0.0,0
MSC-BELLISSIMA,2026-05-25 01:27:10.520848,1834.5836651036266,1817.451954346557,78.92,80.73,1.249,0.741,1.073,12.382,4.154,0,0.0,0
MSC-BELLISSIMA,2026-05-25 02:27:10.520848,1851.5228541614954,1864.6556275854057,77.76,79.7,1.182,0.813,1.148,12.215,4.106,0,0.0,0
MSC-BELLISSIMA,2026-05-25 03:27:10.520848,1821.6354424991348,1810.1502422760866,77.93,79.15,0.446,0.786,1.03,12.816,4.325,0,0.0,0
MSC-BELLISSIMA,2026-05-25 04:27:10.520848,1808.2790864047836,1821.3662175240697,84.52,87.74,1.348,1.285,1.581,12.436,4.104,0,0.0,0
MSC-BELLISSIMA,2026-05-25 05:27:10.520848,1821.2703444641522,1880.553267721492,85.99,89.73,1.15,1.458,1.877,12.595,4.172,0,0.0,0
MSC-BELLISSIMA,2026-05-25 06:27:10.520848,1819.930797914218,1902.3330361692547,87.98,91.22,1.22,1.715,1.964,12.354,4.14,1,1.0,1
MSC-BELLISSIMA,2026-05-25 07:27:10.520848,1761.9849007793678,1864.859862930645,89.71,93.67,0.459,1.885,2.03,12.542,4.259,1,1.0,1
MSC-BELLISSIMA,2026-05-25 08:27:10.520848,1795.4767964140415,1814.6489642687088,91.26,93.44,0.902,2.166,2.567,12.641,4.266,1,1.0,1
MSC-BELLISSIMA,2026-05-25 09:27:10.520848,1783.7412375939152,1835.8452128172657,94.55,98.52,0.996,2.269,2.568,12.972,4.16,1,1.0,1
MSC-BELLISSIMA,2026-05-25 10:27:10.520848,1802.428111490536,1864.8850532513281,76.58,78.5,1.568,0.818,0.937,12.643,4.29,0,0.0,0
MSC-BELLISSIMA,2026-05-25 11:27:10.520848,1789.5787745585715,1837.1898177305798,78.15,80.06,1.343,0.776,0.926,12.4,4.445,0,0.0,0
MSC-BELLISSIMA,2026-05-25 12:27:10.520848,1816.810398557762,1827.0025440635002,74.61,76.94,0.596,0.838,1.286,12.5,4.234,0,0.0,0
MSC-BELLISSIMA,2026-05-25 13:27:10.520848,1810.4462216861955,1833.326281158877,79.71,81.61,1.057,0.863,0.973,12.761,4.247,0,0.0,0
MSC-BELLISSIMA,2026-05-25 14:27:10.520848,1847.0626290935402,1820.0330968425249,77.88,79.08,1.349,0.808,1.126,12.338,4.219,0,0.0,0
